Episode,Average_Q_Value,Max_Q_Value
714,-10.567638266059852,415.438174464
715,-10.46616140938065,415.438174464
716,-10.471810482133861,415.438174464
717,-10.478203544594116,415.438174464
718,-10.48892461278242,415.438174464
719,-10.504505826000283,415.438174464
720,-10.509176010876658,415.438174464
721,-10.522797291247128,415.438174464
722,-10.546415405637033,415.438174464
723,-10.554919679141307,415.438174464
724,-10.565201741097317,415.438174464
725,-10.568975530271107,415.438174464
726,-10.591935178704155,415.438174464
727,-10.62048645719812,415.438174464
728,-10.63451667299766,415.438174464
729,-10.641802737954926,415.438174464
730,-10.645090259322448,415.438174464
731,-10.645289451961279,415.438174464
732,-10.655406665636495,415.438174464
733,-10.666437655781698,415.438174464
734,-10.675561953743648,415.438174464
735,-10.682684460866154,415.438174464
736,-10.720724363522027,415.438174464
737,-10.726365389163051,415.438174464
738,-10.731891990541468,415.438174464
739,-10.737481897668111,415.438174464
740,-10.746411970602585,415.438174464
741,-10.759560370160559,415.438174464
742,-10.762852364715544,415.438174464
743,-10.791138676747616,415.438174464
744,-10.803911041419981,415.438174464
745,-10.810026788428528,415.438174464
746,-10.8135067101678,415.438174464
747,-10.818714131665917,415.438174464
748,-10.823396752748538,415.438174464
749,-10.830191624543412,415.438174464
750,-10.839115047148539,415.438174464
751,-10.864010379087972,415.438174464
752,-10.777432839430663,415.438174464
753,-10.790791010739513,415.438174464
754,-10.794030797937237,415.438174464
755,-10.80278044231846,415.438174464
756,-10.810872735689726,415.438174464
757,-10.814986832122159,415.438174464
758,-10.834083882470953,415.438174464
759,-10.82263887695608,415.438174464
760,-10.826152248228807,415.438174464
761,-10.82887234386607,415.438174464
762,-10.833354964540137,415.438174464
763,-10.845875987267409,415.438174464
764,-10.84974534704145,415.438174464
765,-10.858953016473269,415.438174464
766,-10.870704165336903,415.438174464
767,-10.876621689427813,415.438174464
768,-10.880645652446983,415.438174464
769,-10.931335053503572,415.438174464
770,-10.934035810598301,415.438174464
771,-10.95477218254111,415.438174464
772,-10.882032615434616,396.0
773,-10.888069547252798,396.0
774,-10.879646753568752,396.0
775,-10.902839432183946,396.0
776,-10.901487488634297,396.0
777,-10.901125861994124,396.0
778,-10.928060574263988,396.0
779,-10.94551247113518,396.0
780,-10.950825575483181,396.0
781,-10.963769164793078,396.0
782,-10.964304349475306,396.0
783,-10.969100701929205,396.0
784,-10.957607641444884,396.0
785,-10.980502122242129,396.0
786,-10.993000080316113,396.0
787,-10.995881428863195,396.0
788,-11.003619812994017,396.0
789,-11.03494484103647,396.0
790,-11.036171851341793,396.0
791,-11.069380433473375,396.0
792,-11.091139497122597,396.0
793,-11.100616159074507,396.0
794,-11.104204105093629,396.0
795,-11.116091275124262,396.0
796,-11.118959054473624,396.0
797,-11.104560717441506,396.0
798,-11.127895659616938,396.0
799,-11.138220870366586,396.0
800,-11.141841803888509,396.0
801,-11.164211959475496,396.0
802,-11.172260049998833,396.0
803,-11.176592549244097,396.0
804,-11.189900717684536,396.0
805,-11.195063057180247,396.0
806,-11.127454187997786,396.0
807,-11.131280415415041,396.0
808,-11.137445301102245,396.0
809,-11.143061587363942,396.0
810,-11.153483655256446,396.0
811,-11.159689527958001,396.0
812,-11.173484866853913,396.0
813,-11.180389724622199,396.0
814,-11.184733967337898,396.0
815,-11.195025322525112,396.0
816,-11.199546397489753,396.0
817,-11.20455842292681,396.0
818,-11.214302121484094,396.0
819,-11.257796700998457,396.0
820,-11.265151722214863,396.0
821,-11.269835002733064,396.0
822,-11.287958114393739,396.0
823,-11.304896842986787,396.0
824,-11.31035492332625,396.0
825,-11.315589734579659,396.0
826,-11.318264019709776,396.0
827,-11.33485946829559,396.0
828,-11.35925580400932,396.0
829,-11.366327939794328,396.0
830,-11.375841362004099,396.0
831,-11.395093371303194,396.0
832,-11.402008318143272,396.0
833,-11.404155388207629,396.0
834,-11.40579289881583,396.0
835,-11.408219809601826,396.0
836,-11.413350263872369,396.0
837,-11.414748436432482,396.0
838,-11.42182057221749,396.0
839,-11.43038236785132,396.0
840,-11.437696936451037,396.0
841,-11.461178927964474,396.0
842,-11.465308799561043,396.0
843,-11.464539808710047,396.0
844,-11.47356115306665,396.0
845,-11.481429486615024,396.0
846,-11.487471360221813,396.0
847,-11.520354096176153,396.0
848,-11.53906019058777,396.0
849,-11.529824229866602,396.0
850,-11.536886376759256,396.0
851,-11.541494934308634,396.0
852,-11.447421702728974,396.0
853,-11.451899887116964,396.0
854,-11.457419070462151,396.0
855,-11.461762008315258,396.0
856,-11.480867214487207,396.0
857,-11.478630319013753,396.0
858,-11.484491900934655,396.0
859,-11.52016054906232,396.0
860,-11.525370445179323,396.0
861,-11.539676996320567,396.0
862,-11.545628346438143,396.0
863,-11.57390774344048,396.0
864,-11.580600074509723,396.0
865,-11.588720196304942,396.0
866,-11.594285450542232,396.0
867,-11.599318300150875,396.0
868,-11.590180997189933,396.0
869,-11.602023048961314,396.0
870,-11.607911912803118,396.0
871,-11.616830617074305,396.0
872,-11.630021586444625,396.0
873,-11.632041734083845,396.0
874,-11.647559533924785,396.0
875,-11.687619132235616,396.0
876,-11.71645510225633,396.0
877,-11.742353095471852,396.0
878,-11.74773237616147,396.0
879,-11.78999929817634,396.0
880,-11.79467839422154,396.0
881,-11.810110586372382,396.0
882,-11.820870042722358,396.0
